n	Time taken (seconds)
1	0.0000035000
101	0.0001009000
201	0.0003478000
301	0.0004105000
401	0.0005477000
501	0.0006597000
601	0.0008100000
701	0.0010940000
801	0.0011395000
901	0.0013353000
1001	0.0014871000
1101	0.0017928000
1201	0.0019699000
1301	0.0022700000
1401	0.0023857000
1501	0.0027336000
1601	0.0031254000
1701	0.0029965000
1801	0.0032390000
1901	0.0035720000
2001	0.0033817000
2101	0.0037209000
2201	0.0040027000
2301	0.0053930000
2401	0.0047636000
2501	0.0050529000
2601	0.0053839000
2701	0.0047847000
2801	0.0084598000
2901	0.0099713000
