n	Time taken (seconds)
1	0.0000027000
11	0.0000142000
21	0.0000195000
31	0.0000465000
41	0.0000604000
51	0.0000563000
61	0.0000635000
71	0.0000839000
81	0.0000880000
91	0.0001338000
101	0.0001283000
111	0.0001362000
121	0.0002161000
131	0.0001574000
141	0.0001781000
151	0.0003335000
161	0.0002070000
171	0.0002833000
181	0.0002550000
191	0.0002609000
201	0.0002617000
211	0.0003038000
221	0.0003300000
231	0.0003215000
241	0.0003589000
251	0.0003478000
261	0.0003713000
271	0.0003915000
281	0.0003985000
291	0.0004303000
301	0.0004516000
311	0.0004608000
321	0.0004982000
331	0.0004798000
341	0.0005193000
351	0.0005293000
361	0.0005692000
371	0.0005616000
381	0.0005672000
391	0.0006014000
401	0.0006281000
411	0.0007423000
421	0.0006549000
431	0.0006724000
441	0.0007317000
451	0.0007059000
461	0.0007239000
471	0.0007435000
481	0.0009356000
491	0.0007885000
501	0.0007779000
511	0.0008020000
521	0.0008441000
531	0.0008651000
541	0.0008706000
551	0.0008990000
561	0.0009293000
571	0.0009392000
581	0.0009595000
591	0.0009968000
601	0.0010841000
611	0.0010286000
621	0.0010843000
631	0.0010749000
641	0.0011519000
651	0.0011509000
661	0.0011721000
671	0.0011583000
681	0.0011775000
691	0.0011925000
701	0.0012393000
711	0.0012469000
721	0.0012880000
731	0.0012712000
741	0.0012954000
751	0.0012923000
761	0.0013043000
771	0.0013724000
781	0.0013574000
791	0.0014307000
801	0.0014015000
811	0.0014044000
821	0.0013779000
831	0.0015305000
841	0.0014900000
851	0.0015205000
861	0.0014867000
871	0.0015625000
881	0.0015545000
891	0.0015791000
901	0.0015693000
911	0.0026974000
921	0.0016389000
931	0.0016546000
941	0.0018595000
951	0.0017085000
961	0.0016753000
971	0.0017148000
981	0.0019924000
991	0.0017788000
