n	Time taken (seconds)
1	0.0000024000
11	0.0000148000
21	0.0000190000
31	0.0000358000
41	0.0000441000
51	0.0001020000
61	0.0000632000
71	0.0000752000
81	0.0001614000
91	0.0001789000
101	0.0001385000
111	0.0001481000
121	0.0001558000
131	0.0002361000
141	0.0001714000
151	0.0003386000
161	0.0002222000
171	0.0002225000
181	0.0002409000
191	0.0002549000
201	0.0003372000
211	0.0003343000
221	0.0002995000
231	0.0003246000
241	0.0003355000
251	0.0003505000
261	0.0005450000
271	0.0003862000
281	0.0004383000
291	0.0004371000
301	0.0004475000
311	0.0004610000
321	0.0004779000
331	0.0004950000
341	0.0005330000
351	0.0005313000
361	0.0005692000
371	0.0005947000
381	0.0010988000
391	0.0007352000
401	0.0006282000
411	0.0009646000
421	0.0006419000
431	0.0007226000
441	0.0014957000
451	0.0007360000
461	0.0007279000
471	0.0008171000
481	0.0007498000
491	0.0007868000
501	0.0008648000
511	0.0008411000
521	0.0008401000
531	0.0008668000
541	0.0010637000
551	0.0009807000
561	0.0009908000
571	0.0009813000
581	0.0019152000
591	0.0019821000
601	0.0011094000
611	0.0021154000
621	0.0013824000
631	0.0013208000
641	0.0011241000
651	0.0020107000
661	0.0012370000
671	0.0012000000
681	0.0015959000
691	0.0024224000
701	0.0015660000
711	0.0013308000
721	0.0012919000
731	0.0013554000
741	0.0012861000
751	0.0022770000
761	0.0013859000
771	0.0018168000
781	0.0015103000
791	0.0014910000
801	0.0015116000
811	0.0015505000
821	0.0016177000
831	0.0018122000
841	0.0018110000
851	0.0017249000
861	0.0017972000
871	0.0017686000
881	0.0017866000
891	0.0017884000
901	0.0017551000
911	0.0017999000
921	0.0017472000
931	0.0017923000
941	0.0017719000
951	0.0018524000
961	0.0019778000
971	0.0020174000
981	0.0022240000
991	0.0020175000
