n	Time taken (seconds)
1	0.0000026000
101	0.0000082000
201	0.0000169000
301	0.0000212000
401	0.0000378000
501	0.0000340000
601	0.0000563000
701	0.0000511000
801	0.0000574000
901	0.0000799000
1001	0.0000801000
1101	0.0001182000
1201	0.0001002000
1301	0.0001042000
1401	0.0001556000
1501	0.0001722000
1601	0.0001808000
1701	0.0001406000
1801	0.0001633000
1901	0.0001742000
2001	0.0001624000
2101	0.0003666000
2201	0.0001876000
2301	0.0002547000
2401	0.0002742000
2501	0.0002658000
2601	0.0002566000
2701	0.0002323000
2801	0.0002810000
2901	0.0003317000
