n	Time taken (seconds)
1	0.0000020000
101	0.0000103000
201	0.0000145000
301	0.0000264000
401	0.0000481000
501	0.0000390000
601	0.0000619000
701	0.0000535000
801	0.0000845000
901	0.0000823000
1001	0.0001719000
1101	0.0000989000
1201	0.0001093000
1301	0.0001735000
1401	0.0000947000
1501	0.0001258000
1601	0.0001494000
1701	0.0001610000
1801	0.0001510000
1901	0.0001523000
2001	0.0003446000
2101	0.0001941000
2201	0.0006199000
2301	0.0003564000
2401	0.0002216000
2501	0.0002086000
2601	0.0002622000
2701	0.0001931000
2801	0.0002318000
2901	0.0002176000
