n	Time taken (seconds)
1	0.0000023000
11	0.0000025000
21	0.0000031000
31	0.0000066000
41	0.0000051000
51	0.0000049000
61	0.0000056000
71	0.0000064000
81	0.0000067000
91	0.0000125000
101	0.0000081000
111	0.0000084000
121	0.0000093000
131	0.0000134000
141	0.0000106000
151	0.0000177000
161	0.0000218000
171	0.0000131000
181	0.0000181000
191	0.0000138000
201	0.0000440000
211	0.0000155000
221	0.0000166000
231	0.0000358000
241	0.0000226000
251	0.0000176000
261	0.0000530000
271	0.0000207000
281	0.0000197000
291	0.0000214000
301	0.0000455000
311	0.0000280000
321	0.0000229000
331	0.0000244000
341	0.0000479000
351	0.0000259000
361	0.0000253000
371	0.0000272000
381	0.0000317000
391	0.0000649000
401	0.0003569000
411	0.0000382000
421	0.0000299000
431	0.0000355000
441	0.0000643000
451	0.0000409000
461	0.0000439000
471	0.0000481000
481	0.0000353000
491	0.0000873000
501	0.0000617000
511	0.0000447000
521	0.0000728000
531	0.0000550000
541	0.0000429000
551	0.0000629000
561	0.0000423000
571	0.0000449000
581	0.0000901000
591	0.0000627000
601	0.0001327000
611	0.0001207000
621	0.0000487000
631	0.0000778000
641	0.0000647000
651	0.0000572000
661	0.0000589000
671	0.0000539000
681	0.0001080000
691	0.0001360000
701	0.0000623000
711	0.0000560000
721	0.0000579000
731	0.0001787000
741	0.0000580000
751	0.0000643000
761	0.0001234000
771	0.0000666000
781	0.0000695000
791	0.0000901000
801	0.0000658000
811	0.0000796000
821	0.0000882000
831	0.0000860000
841	0.0000756000
851	0.0000753000
861	0.0000763000
871	0.0000827000
881	0.0000977000
891	0.0000764000
901	0.0000867000
911	0.0000890000
921	0.0000734000
931	0.0000794000
941	0.0000838000
951	0.0000836000
961	0.0001162000
971	0.0000866000
981	0.0000862000
991	0.0000882000
