n	Time taken (seconds)
1	0.0000013000
11	0.0000153000
21	0.0000266000
31	0.0000517000
41	0.0000633000
51	0.0000387000
61	0.0000466000
71	0.0000960000
81	0.0000710000
91	0.0000760000
101	0.0001601000
111	0.0001674000
121	0.0000983000
131	0.0001898000
141	0.0001173000
151	0.0001405000
161	0.0001325000
171	0.0001428000
181	0.0001691000
191	0.0001683000
201	0.0001789000
211	0.0001889000
221	0.0001941000
231	0.0002076000
241	0.0002085000
251	0.0002281000
261	0.0002747000
271	0.0002564000
281	0.0005133000
291	0.0005551000
301	0.0002841000
311	0.0003101000
321	0.0003131000
331	0.0003002000
341	0.0003615000
351	0.0003742000
361	0.0003612000
371	0.0003850000
381	0.0003622000
391	0.0004012000
401	0.0006244000
411	0.0005791000
421	0.0004366000
431	0.0006399000
441	0.0004610000
451	0.0004332000
461	0.0004577000
471	0.0005417000
481	0.0005181000
491	0.0005032000
501	0.0004852000
511	0.0005012000
521	0.0005209000
531	0.0005783000
541	0.0005972000
551	0.0007587000
561	0.0005597000
571	0.0005899000
581	0.0020972000
591	0.0006208000
601	0.0005863000
611	0.0006186000
621	0.0006622000
631	0.0007581000
641	0.0009176000
651	0.0006696000
661	0.0007272000
671	0.0007586000
681	0.0006971000
691	0.0007156000
701	0.0007215000
711	0.0007693000
721	0.0007506000
731	0.0007896000
741	0.0007669000
751	0.0007536000
761	0.0008098000
771	0.0007880000
781	0.0008303000
791	0.0007960000
801	0.0013973000
811	0.0008097000
821	0.0008330000
831	0.0008982000
841	0.0012202000
851	0.0017759000
861	0.0010037000
871	0.0010727000
881	0.0010870000
891	0.0019835000
901	0.0020570000
911	0.0014270000
921	0.0010684000
931	0.0011941000
941	0.0009865000
951	0.0011032000
961	0.0014572000
971	0.0011882000
981	0.0012104000
991	0.0011012000
