n	Time taken (seconds)
1	0.0000016000
11	0.0000143000
21	0.0000159000
31	0.0000234000
41	0.0000305000
51	0.0000536000
61	0.0000531000
71	0.0000601000
81	0.0000874000
91	0.0001037000
101	0.0000924000
111	0.0001092000
121	0.0001034000
131	0.0001099000
141	0.0001272000
151	0.0001318000
161	0.0001349000
171	0.0001522000
181	0.0001516000
191	0.0001635000
201	0.0002281000
211	0.0001844000
221	0.0001879000
231	0.0003305000
241	0.0002194000
251	0.0002244000
261	0.0002376000
271	0.0003249000
281	0.0002640000
291	0.0002654000
301	0.0002838000
311	0.0002862000
321	0.0004600000
331	0.0004386000
341	0.0003140000
351	0.0003394000
361	0.0003495000
371	0.0003498000
381	0.0003481000
391	0.0003678000
401	0.0003688000
411	0.0004042000
421	0.0004148000
431	0.0004284000
441	0.0004148000
451	0.0005811000
461	0.0004267000
471	0.0008422000
481	0.0004562000
491	0.0004711000
501	0.0005355000
511	0.0004930000
521	0.0005486000
531	0.0005185000
541	0.0005147000
551	0.0005555000
561	0.0011104000
571	0.0006603000
581	0.0005647000
591	0.0005975000
601	0.0005977000
611	0.0006095000
621	0.0006192000
631	0.0006136000
641	0.0006527000
651	0.0006523000
661	0.0006488000
671	0.0006776000
681	0.0006922000
691	0.0007078000
701	0.0006963000
711	0.0007244000
721	0.0007786000
731	0.0007507000
741	0.0007491000
751	0.0008084000
761	0.0007651000
771	0.0008040000
781	0.0007814000
791	0.0008954000
801	0.0008140000
811	0.0010238000
821	0.0011298000
831	0.0012437000
841	0.0009044000
851	0.0009484000
861	0.0008996000
871	0.0008741000
881	0.0010338000
891	0.0009934000
901	0.0010035000
911	0.0010523000
921	0.0010032000
931	0.0011631000
941	0.0009761000
951	0.0011576000
961	0.0010351000
971	0.0010544000
981	0.0013202000
991	0.0010241000
