n	Time taken (seconds)
1	0.0000011000
11	0.0000251000
21	0.0000175000
31	0.0000453000
41	0.0000315000
51	0.0000388000
61	0.0000467000
71	0.0000552000
81	0.0000643000
91	0.0000834000
101	0.0000958000
111	0.0001690000
121	0.0001588000
131	0.0002892000
141	0.0001201000
151	0.0001264000
161	0.0001346000
171	0.0001533000
181	0.0001833000
191	0.0001646000
201	0.0001762000
211	0.0002523000
221	0.0002066000
231	0.0002053000
241	0.0002279000
251	0.0002320000
261	0.0002402000
271	0.0002482000
281	0.0002687000
291	0.0003640000
301	0.0002786000
311	0.0002929000
321	0.0003284000
331	0.0003271000
341	0.0003771000
351	0.0003789000
361	0.0004011000
371	0.0003917000
381	0.0004067000
391	0.0007469000
401	0.0008819000
411	0.0004277000
421	0.0004056000
431	0.0004383000
441	0.0004889000
451	0.0004400000
461	0.0005098000
471	0.0004796000
481	0.0004555000
491	0.0004715000
501	0.0005121000
511	0.0006018000
521	0.0005615000
531	0.0006572000
541	0.0005400000
551	0.0005594000
561	0.0005862000
571	0.0006189000
581	0.0007010000
591	0.0006853000
601	0.0006687000
611	0.0006457000
621	0.0006263000
631	0.0006594000
641	0.0006837000
651	0.0007483000
661	0.0007207000
671	0.0007553000
681	0.0008153000
691	0.0008227000
701	0.0007924000
711	0.0007489000
721	0.0007348000
731	0.0007609000
741	0.0008163000
751	0.0008569000
761	0.0010739000
771	0.0008752000
781	0.0008723000
791	0.0009593000
801	0.0009866000
811	0.0008663000
821	0.0009012000
831	0.0008948000
841	0.0012557000
851	0.0009625000
861	0.0009616000
871	0.0009422000
881	0.0009821000
891	0.0012798000
901	0.0010509000
911	0.0010266000
921	0.0010603000
931	0.0010503000
941	0.0009858000
951	0.0010451000
961	0.0010981000
971	0.0011951000
981	0.0015160000
991	0.0011125000
