n	Pivot choice	Time taken (seconds)
100	1	0.0001661777
100	2	0.0001430511
100	3	0.0001411438
200	1	0.0004508495
200	2	0.0003778934
200	3	0.0003628731
300	1	0.0007407665
300	2	0.0006299019
300	3	0.0006468296
400	1	0.0011320114
400	2	0.0010628700
400	3	0.0010461807
500	1	0.0016250610
500	2	0.0012860298
500	3	0.0012679100
600	1	0.0020821095
600	2	0.0018711090
600	3	0.0018599033
700	1	0.0027542114
700	2	0.0025920868
700	3	0.0025908947
800	1	0.0036499500
800	2	0.0032649040
800	3	0.0032968521
900	1	0.0044851303
900	2	0.0037510395
900	3	0.0038578510
1000	1	0.0053198338
1000	2	0.0040500164
1000	3	0.0040099621
