n	Pivot choice	Time taken (seconds)
100	1	0.0001831055
100	2	0.0001778603
100	3	0.0001747608
200	1	0.0004510880
200	2	0.0004479885
200	3	0.0004460812
300	1	0.0007548332
300	2	0.0007469654
300	3	0.0007479191
400	1	0.0014338493
400	2	0.0011670589
400	3	0.0011670589
500	1	0.0014300346
500	2	0.0013628006
500	3	0.0013401508
600	1	0.0019817352
600	2	0.0019230843
600	3	0.0019111633
700	1	0.0027582645
700	2	0.0027368069
700	3	0.0027499199
800	1	0.0197050571
800	2	0.0032949448
800	3	0.0032851696
900	1	0.0036420822
900	2	0.0036871433
900	3	0.0036389828
1000	1	0.0040020943
1000	2	0.0040211678
1000	3	0.0040581226
