n	Pivot choice	Time taken (seconds)
100	1	0.0001556873
100	2	0.0001459122
100	3	0.0001440048
200	1	0.0003597736
200	2	0.0003657341
200	3	0.0003640652
300	1	0.0006892681
300	2	0.0006411076
300	3	0.0006482601
400	1	0.0010681152
400	2	0.0011079311
400	3	0.0010259151
500	1	0.0015308857
500	2	0.0014550686
500	3	0.0015699863
600	1	0.0020120144
600	2	0.0019509792
600	3	0.0019767284
700	1	0.0026659966
700	2	0.0028829575
700	3	0.0026040077
800	1	0.0032830238
800	2	0.0032470226
800	3	0.0035719872
900	1	0.0041801929
900	2	0.0041091442
900	3	0.0040929317
1000	1	0.0049169064
1000	2	0.0051338673
1000	3	0.0051388741
