n	Time taken (seconds)
1	0.0000143000
101	0.0000554000
201	0.0001720000
301	0.0001396000
401	0.0003090000
501	0.0002744000
601	0.0003224000
701	0.0003926000
801	0.0003972000
901	0.0005724000
1001	0.0008607000
1101	0.0006958000
1201	0.0005777000
1301	0.0006695000
1401	0.0007411000
1501	0.0007151000
1601	0.0007528000
1701	0.0008123000
1801	0.0010446000
1901	0.0018197000
2001	0.0009139000
2101	0.0014358000
2201	0.0015678000
2301	0.0014760000
2401	0.0011637000
2501	0.0012775000
2601	0.0013857000
2701	0.0013105000
2801	0.0025034000
2901	0.0024555000
