n	Time taken (seconds)
1	0.0000107000
11	0.0000161000
21	0.0000162000
31	0.0000176000
41	0.0000206000
51	0.0000227000
61	0.0000260000
71	0.0000442000
81	0.0000758000
91	0.0000469000
101	0.0000460000
111	0.0000448000
121	0.0000459000
131	0.0000582000
141	0.0000580000
151	0.0000546000
161	0.0000653000
171	0.0000625000
181	0.0000687000
191	0.0000671000
201	0.0001267000
211	0.0001289000
221	0.0001131000
231	0.0001426000
241	0.0001334000
251	0.0001131000
261	0.0001227000
271	0.0001480000
281	0.0001266000
291	0.0001359000
301	0.0001398000
311	0.0001678000
321	0.0002593000
331	0.0001693000
341	0.0001803000
351	0.0001781000
361	0.0001792000
371	0.0001739000
381	0.0001774000
391	0.0001703000
401	0.0001876000
411	0.0001801000
421	0.0001882000
431	0.0002132000
441	0.0002484000
451	0.0001998000
461	0.0002113000
471	0.0002323000
481	0.0002385000
491	0.0002209000
501	0.0002305000
511	0.0002671000
521	0.0002907000
531	0.0002489000
541	0.0003069000
551	0.0002412000
561	0.0002806000
571	0.0002696000
581	0.0003163000
591	0.0003181000
601	0.0002943000
611	0.0002724000
621	0.0003135000
631	0.0002867000
641	0.0002854000
651	0.0002869000
661	0.0002952000
671	0.0005212000
681	0.0003907000
691	0.0003308000
701	0.0003297000
711	0.0003616000
721	0.0003863000
731	0.0004252000
741	0.0003509000
751	0.0003977000
761	0.0003854000
771	0.0003353000
781	0.0003941000
791	0.0003766000
801	0.0003834000
811	0.0005169000
821	0.0003931000
831	0.0004602000
841	0.0004241000
851	0.0004241000
861	0.0005596000
871	0.0004117000
881	0.0004133000
891	0.0004153000
901	0.0005030000
911	0.0004399000
921	0.0004497000
931	0.0004508000
941	0.0004197000
951	0.0004391000
961	0.0004298000
971	0.0004740000
981	0.0004709000
991	0.0004721000
