n	Time taken (seconds)
1	0.0000105000
11	0.0000146000
21	0.0000707000
31	0.0000295000
41	0.0000229000
51	0.0000238000
61	0.0000336000
71	0.0000286000
81	0.0000372000
91	0.0000403000
101	0.0000724000
111	0.0000874000
121	0.0000492000
131	0.0000527000
141	0.0000697000
151	0.0000598000
161	0.0000752000
171	0.0000910000
181	0.0000888000
191	0.0000859000
201	0.0000916000
211	0.0000734000
221	0.0001025000
231	0.0002189000
241	0.0001139000
251	0.0001888000
261	0.0001185000
271	0.0000958000
281	0.0001050000
291	0.0001432000
301	0.0001431000
311	0.0001171000
321	0.0001305000
331	0.0001525000
341	0.0001614000
351	0.0001806000
361	0.0001572000
371	0.0002027000
381	0.0001417000
391	0.0004006000
401	0.0002184000
411	0.0002165000
421	0.0001383000
431	0.0001999000
441	0.0001457000
451	0.0001535000
461	0.0002307000
471	0.0002248000
481	0.0001637000
491	0.0002113000
501	0.0001687000
511	0.0003183000
521	0.0001746000
531	0.0002414000
541	0.0002735000
551	0.0001855000
561	0.0002606000
571	0.0003057000
581	0.0002167000
591	0.0002098000
601	0.0002807000
611	0.0002994000
621	0.0002643000
631	0.0002242000
641	0.0002595000
651	0.0003047000
661	0.0002646000
671	0.0003573000
681	0.0003323000
691	0.0004000000
701	0.0002975000
711	0.0003288000
721	0.0003570000
731	0.0004240000
741	0.0003425000
751	0.0002686000
761	0.0004247000
771	0.0004118000
781	0.0003683000
791	0.0004517000
801	0.0003844000
811	0.0002682000
821	0.0002752000
831	0.0004137000
841	0.0007473000
851	0.0004840000
861	0.0004343000
871	0.0004521000
881	0.0003335000
891	0.0005157000
901	0.0004127000
911	0.0003178000
921	0.0004855000
931	0.0004802000
941	0.0004039000
951	0.0004745000
961	0.0005610000
971	0.0006427000
981	0.0005730000
991	0.0005253000
